Membre de SDC,Catégorie,Château / Entreprise,Apparaît dans la bible ? ,type de vins princiapl,Statut de la demande,Pôle concerné,mail,Téléphone,Prénom,Nom,Région,Mail,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
,catégorie,Domaine Eric Sage,Non,,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine L'Orée du Sabia,Non,,relance faite,Défi de Bacchus,contact@loreedusabia.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Mercier,Non,,relance faite,Défi de Bacchus,contact@mercier-vins.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Coirier,Non,,relance faite,Défi de Bacchus,contact@domainecoirier.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Barbinière,Non,,relance faite,Défi de Bacchus,contact@domainedelabarbiniere.com,, ,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Georges Vernay,Non,,relance faite,Défi de Bacchus,contact@georges-vernay.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean-Michel Gerin,Non,,relance faite,Défi de Bacchus,info@domaine-gerin.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Guigal,Non,,Validé,Défi de Bacchus,contact@guigal.com,474561022,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Pierre Gaillard,Non,,relance faite,Défi de Bacchus,famille@gaillard.vin,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Bernard Gripa,Non,,relance faite,Défi de Bacchus,contact@domainegraillot.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Alain Graillot,Non,,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Alain Voge,Non,,Validé,Défi de Bacchus,contact@alain-voge.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Auguste Clape,Non,,"Contacté, sans réponse",Défi de Bacchus,pierre.clape@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Courbis,Non,,relance faite,Défi de Bacchus,contact@domaine-courbis.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine François Villard,Non,,relance faite,Défi de Bacchus,contact@domainevillard.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Delas Frères,Non,,"Contacté, en discussions",Pôle concerné,contact@delas.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Chapoutier,Non,,relance faite,Pôle concerné,vpc@chapoutier.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Paul Jaboulet Aîné,Non,rouge,"Contacté, refus",Pôle concerné,info@jaboulet.com,,tester l'an prochain ,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean-Louis Chave,Non,rouge,relance faite,Pôle concerné,domaine@domainejlchave.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Ferraton Père & Fils,Non,rouge,relance faite,Pôle concerné,contact@ferraton.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Gonon,Non,,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Tunnel,Non,,"Contacté, sans réponse",Pôle concerné,domaine-du-tunnel@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Colombo,Non,rouge,relance faite,Pôle concerné,colombo@vinscolombo.fr,,,,,,,,,,,,,,
