Membre de SDC,Catégorie,Château / Entreprise,Statut de la demande,Pôle concerné,Prénom,Nom,Région,Mail,Poste,Téléphone ,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ? ,"Si oui, quel type ? "
Arnaud ,Démarchage financier,Cabinet Julhiet Sterwen,"Contacté, en discussions",Défi de Bacchus,Ludivine ,Toutounji (contact de l'emlyon en attendant qu'elle nous transmette au contact du cabinet),,toutounji@em-lyon.com,Directrice adjointe en charge des partenariats entreprises,,,,,La responsable des relations exterieurs de l'em nous a informé de l'interet du cabinet d'apporter un soutien financier à l'asso d'oenologie de l'école,,,,
Antoine/Cédric,Démarchage en nature,Château André Ziltener,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Alain Zorninger,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Pascal Bonhomme,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine de Naisse - Brenot Béranger,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave de la Vigne Blanche,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave de Viré,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Marchand tawse,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Frantz Chagnoleau,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Olivier Leflaive,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Sainte-Barbe,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Les Fauvettes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Cordier,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine des Gandines,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Edouard Delaunay,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine du Mortier,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chai Duchet,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Le Virolys,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Gondard-Perrin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Lucie et Stéphane Guillemin.,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Mee Godard,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Château de Pibarnon,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine La Borderie,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,le Domaine Ostertag,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,le Clos Triguedina,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château du Cèdre,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles ,,,,Non,
Antoine/Cédric,Démarchage en nature,De Peres,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Wengier,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Jeanne,6 bouteilles ,,,,Oui,
Antoine/Cédric,Démarchage en nature,Les Roques de Cana,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Vignoble Angst,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Amandine Scarone,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Ampelide,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Amphore De Beausoleil,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Angueiroun Sélections,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Annibals Sas,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Anthony Mati,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
